weight, item, description
6.7, shirt, long sleeve grey polyester REI sun 
5.55, shirt, black long sleeve polyester GI
9.65, synthetic jacket, black Montbell UL size L
9.9, rain jacket, green Integral Designs hoodless with event size L
8.7, hiking pants, green synthetic Mountain Hardwear size M
3.8, running shorts, black Brooks with liner
12.15, hiking pants, khaki Mountain Hardwear size L
14.3, hiking pants, dark blue polyester Prana size M
24.5, pants, green BDU 5.11 taclite size medium long
29.1, pants, brown BDU 5.11 heavy fabric size medium long
15.25, rain jacket, green / avocado Golite with Goretex
5.9, wind pants, grey Montbell size L
3.85, wind jacket, black Patagonia Houdini size M
9, tights, green BAP synthetic
4, tights, green Smartwool striped leggings
3.15, socks, Smartwool heavy wool grey and red
8.55, tights, tan GI square fleece
8.55, shirt, black longsleeve Smartwool
20.8, backpack, green ULA frameless 50L size M/L
21, backpack, black GoRuck 10L bullet ruck
45.95, backpack, green ULA with frame size M
11.45, shirt, tan synthetic longsleeve checkered fleece GI
7.5, shirt, black fleece Columbia hoodie size M
15.35, pants, black softshell Wild Things Mountain tights size L
6.2, tights, black Smartwool
37.95, tent, Tarptent tube style
2.8, headlamp, Petzl Tikka with 3 AAA batteries
3.2, headlamp, Black Diamond green with 3 AAA batteries
7.4, ground tarp, white Tyvek for 1 person
2.2, ballcap, green OR
2.15, stakes, set of 6 Easton aluminum in silnylon sack
100.05, backpack, red 80L Gregory palisade without lid
10.45, lid, red 80L Gregory palisade backpack lid
14.15, butt pack, coyote color Mystery Ranch
73.1, duffel, black Xlarge North face base camp
31.4, sleeping pad, green 2 inch full size Thermarest trail pro
2.65, underwear, nylon Calvin Klein
4.2, windshirt, blue Wild Things Yeji
2.1, pack liner, large plastic trash compactor bag
40.65, rain jacket, green GI Gore-tex camoflauge
16, fleece jacket, black 200 wt Polartec REI size M
4.95, iphone, 5 with small black case
12.5, running shoe, white New Balance 450v3
34.15, boot, warm weather desert GI
33.05, boot, warm weather desert GI McRae 12R with Sole Ultra insoles
23.45, hiking shoe, brown Merrell Chameleon
1.1, bandanna, blue cotton
55.05, backpack, coyote Specops recon ruck ultra ALICE
19.35, waist belt, desert molle ruck
91.9, backpack, coyote Specops recon ruck ultra ALICE complete with frame and belt
51.8, vest, coyote FLC including 5 pouches
51.55, target, 4 inch steel gong including PVC stand and rubber bungees
23.2, squeeze bag, coyote
12.65, scope cover, Eberlestock coyote
31.7, waistbelt, desert molle with two pouches
33.25, jacket, grey hooded synthetic Wild Things GI
20.4, bivy sack, green Outdoor Designs with Goretex
18.6, sleeping pad, green GI foam
13.65, sleeping pad, old green long Z rest
12.3, pants, grey Columbia nylon
12.1, jacket liner, quilted green GI size M
15.3, down blanket, blue travel size
7.55, molle pouch, coyote Specter zipper
33, alice frame
1.8, stove, canteen cup slip on
9.25, alice kidney pad, green
97, alice pack, medium complete with GI frame and water carrier
19.75, rod, 2' for spotting scope 
85.55, spotting scope, 82mm Kowa with head and cover
